Start Distance to Gillface log 
Login date and time: 11-1-2021 17:25:18

docks has started -------------------------    0
12,49689    18,70644
12,39621    18,80847
12,26688    18,91216
12,2919    19,00513
12,0239    19,11761
11,94153    19,21728
11,85461    19,317
11,73651    19,41853
11,78976    19,50838
11,59906    19,61422
11,56757    19,70921
11,58185    19,80094
11,47916    19,90015
11,22946    20,00879
11,21921    20,1014
11,07028    20,20286
10,83752    20,30952
10,80777    20,40268
10,5658    20,50939
10,46198    20,60686
10,21136    20,71357
10,11755    20,80989
9,872589    20,91568
9,94516    21,00084
9,682739    21,10723
9,40329    21,21441
9,367767    21,3058
9,122345    21,41028
8,805847    21,51899
8,893677    21,60189
8,671509    21,70413
8,450531    21,80603
8,054504    21,91864
7,974152    22,01123
8,167633    22,11166
8,402802    22,2083
8,686401    22,30064
8,773834    22,40883
9,026733    22,52604
9,083099    22,6131
9,328064    22,70735
9,412079    22,81439
9,733734    22,90183
9,74472    23,0141
10,06219    23,10131
10,15771    23,20607
10,40649    23,32062
10,45233    23,40631
10,44156    23,51851
10,60516    23,61652
10,89178    23,70451
10,91339    23,8131
11,17715    23,90234
11,12866    24,01575
11,34067    24,10846
11,52115    24,20336
11,59558    24,30618
11,6799    24,40791
11,81699    24,50526
11,97974    24,60036
11,9985    24,70619
12,13309    24,80286
12,16165    24,90731
12,18723    25,01164
12,32605    25,1071
12,35251    25,21073
12,55057    25,32219
12,47836    25,41124
12,66415    25,52294
12,22632    25,6286
11,63483    25,71417
10,95166    25,81667
10,29993    25,91652
9,61084    26,01884
9,835938    26,10514
10,5257    26,21869
12,13974    26,3053
13,5578    26,40594
14,89639    26,51204
16,28619    26,61411
17,65387    26,71748
19,07193    26,81692
20,53772    26,91266
21,94571    27,01226
21,88925    27,11618
22,10004    27,2207
22,05365    27,30345
22,03027    27,40418
21,8707    27,51421
22,03284    27,60131
21,92203    27,70556
21,93887    27,80235
21,93713    27,90016
21,73538    28,01161
21,79849    28,10436
21,7117    28,20723
21,63492    28,30913
21,63702    28,40532
21,52585    28,50901
21,50583    28,60618
21,41425    28,70798
21,2561    28,81402
21,10687    28,91915
21,24564    29,00451
21,2084    29,10155
20,991    29,21045
20,93488    29,30822
20,77078    29,41295
20,71002    29,5105
20,6087    29,61049
20,41858    29,7161
20,45569    29,80639
20,24371    29,91291
20,06195    30,01714
19,95093    30,11644
20,00757    30,20451
19,83496    30,30734
19,53903    30,41794
19,62115    30,50366
19,51602    30,60133
19,38718    30,70028
19,2355    30,80045
18,91827    30,91101
18,74731    31,01188
18,72711    31,12075
18,5578    31,20311
18,14371    31,3187
18,08691    31,41129
18,01776    31,50443
17,69287    31,61351
17,70197    31,70125
17,27094    31,81647
17,08472    31,91601
17,09439    32,02056
16,89609    32,12035
16,71722    32,20125
16,2514    32,31718
16,16211    32,40949
15,87817    32,5136
15,65033    32,61399
15,58197    32,72153
15,18332    32,81473
14,98004    32,91288
14,84772    33,00647
14,47867    33,11425
14,41312    33,22032
14,16635    33,30319
13,71594    33,41511
14,7001    33,50777
15,66998    33,61793
16,98648    33,707
18,11105    33,80737
19,10623    33,91522
20,21219    34,0162
20,00485    34,11179
19,85062    34,20402
19,32077    34,31826
19,03775    34,41764
18,95114    34,52171
18,6351    34,60614
18,39877    34,70212
17,84207    34,81661
17,70728    34,90621
17,28436    35,01239
17,00824    35,10976
16,54416    35,2178
16,4678    35,30318
16,16718    35,40132
15,75433    35,50569
15,49097    35,60124
14,95068    35,71244
14,60126    35,81245
14,1604    35,91744
14,05383    36,00318
13,72943    36,1011
13,04059    36,21943
12,73633    36,31574
12,29138    36,41713
12,03766    36,51017
11,69092    36,60823
11,3244    36,70718
10,96356    36,8056
10,65021    36,90117
10,21252    37,00344
9,601257    37,1151
9,35614    37,20624
8,917969    37,30785
8,353821    37,41616
8,103088    37,507
8,051636    37,60794
8,27179    37,70596
8,457886    37,80647
8,589722    37,91112
8,77594    38,01094
9,016052    38,10603
9,04248    38,21826
9,411316    38,30224
9,572998    38,40281
9,660522    38,50903
9,851379    38,60658
9,893616    38,71574
10,0672    38,81403
10,31451    38,92845
10,53088    39,00041
10,44397    39,11844
10,63    39,21449
10,94611    39,30001
10,84418    39,41812
11,19855    39,54392
11,29773    39,62368
11,30603    39,71033
11,315    39,81838
11,59033    39,92709
11,75531    40,02236
11,6474    40,11681
11,84802    40,20879
11,87    40,31416
12,03601    40,40823
12,05426    40,51323
12,09003    40,61658
12,14471    40,71818
12,24524    40,81602
12,5022    40,92284
12,45673    41,01007
12,565    41,10649
12,70483    41,20029
12,6181    41,31061
12,73621    41,40545
12,8584    41,52034
12,88165    41,60099
12,83282    41,70724
12,72229    41,81767
12,85175    41,91028
12,99786    42,00143
13,00885    42,10211
13,0368    42,20128
12,96149    42,3076
12,96136    42,4082
13,07092    42,52069
12,87787    42,61448
13,00665    42,70504
12,84314    42,8161
12,89227    42,91177
12,91174    43,00929
12,75464    43,11894
12,83453    43,21165
12,94958    43,30166
12,70508    43,41652
12,87744    43,50202
12,72449    43,60989
12,5545    43,71861
12,63708    43,8096
12,5993    43,90864
12,61597    44,02288
12,55664    44,10367
12,54376    44,20022
12,45264    44,32089
12,29144    44,40793
12,30945    44,52053
12,1015    44,61026
12,12567    44,703
11,85712    44,81515
11,91486    44,90512
11,8999    45,00005
11,59204    45,11393
11,67419    45,20156
11,56824    45,30148
11,40283    45,42353
11,31665    45,52156
11,00531    45,61572
10,97858    45,7277
10,93048    45,80415
10,61035    45,91645
10,45941    46,01741
10,55176    46,10234
10,3725    46,20465
10,09802    46,31283
9,868286    46,41784
9,936279    46,50346
9,701294    46,60829
9,556519    46,70709
9,446472    46,82125
9,187256    46,90899
9,006104    47,00933
8,657776    47,11998
8,711975    47,20495
8,3349    47,31686
8,131592    47,41757
8,167603    47,50304
7,893127    47,617
8,145935    47,71251
8,483582    47,80068
8,557739    47,91037
8,862915    48,00064
8,983154    48,10583
9,02655    48,21693
9,265198    48,31173
9,367188    48,41733
9,65686    48,50738
9,831848    48,60642
10,01807    48,70424
10,01447    48,81699
10,18768    48,91519
10,36377    49,01285
10,64825    49,10161
10,68225    49,20995
10,74597    49,31558
10,88043    49,4153
11,14282    49,50467
11,19391    49,61031
11,22888    49,71686
11,51849    49,80328
11,53717    49,90822
11,66302    50,00677
11,81445    50,10306
11,95282    50,20006
11,90106    50,31132
11,94574    50,41484
12,18536    50,50323
12,19153    50,60908
12,40521    50,72006
12,2691    50,81485
12,53662    50,92111
12,58533    51,00148
12,61511    51,10398
12,49664    51,21721
12,60437    51,31327
12,63397    51,41484
12,79968    51,50606
12,82281    51,60753
12,90668    51,70424
12,93964    51,80441
13,00476    51,90194
12,87122    52,01365
12,99426    52,10639
12,98572    52,20839
13,07495    52,30304
12,92822    52,41439
13,12286    52,50092
12,96991    52,61209
13,1106    52,70198
13,02881    52,80745
13,06689    52,90411
13,06873    53,00308
12,97357    53,1086
12,8606    53,21507
12,94904    53,3071
12,83563    53,41301
12,91663    53,50505
12,69666    53,61777
12,77344    53,70959
12,84418    53,80158
12,56921    53,91717
12,57281    54,01326
12,66406    54,10308
12,4621    54,21273
12,38678    54,31342
12,49939    54,40106
12,42145    54,50142
12,112    54,61715
12,24109    54,70296
11,91876    54,81894
12,10791    54,90026
11,89777    55,00812
11,76892    55,11024
11,64624    55,21168
11,54053    55,31171
11,55017    55,40386
11,47327    55,50148
11,31012    55,60453
11,16498    55,70613
10,83594    55,8195
10,36255    55,91454
9,544495    56,01355
9,403687    56,11378
9,345459    56,20839
9,239502    56,30587
8,994751    56,41204
8,847351    56,51167
8,745483    56,60812
8,496155    56,71376
8,494263    56,80333
8,190796    56,91189
8,167358    57,00994
8,341003    57,1119
8,552185    57,21041
8,806152    57,30508
8,866089    57,4154
9,067322    57,51374
9,313293    57,60813
9,509583    57,70626
9,710266    57,80373
9,762146    57,91292
10,04694    58,00296
10,19019    58,1041
